cik,feature_year,actual_label,predicted_score,risk_tier,scenario_score
0001383650,2022,0,0.008146182548555238,Routine Monitoring,0.009196012985942628
0001384195,2022,0,0.040701554652471335,Routine Monitoring,0.042963694701332926
0001384905,2022,0,0.09335340092259983,Routine Monitoring,0.10288020799063927
0001385157,2022,0,0.01782562826703727,Routine Monitoring,0.019813189365248365
0001387467,2022,0,0.0255154287883024,Routine Monitoring,0.028335667827143512
0001388658,2022,1,0.4011130570753479,High Review Priority,0.4272467710514508
0001389170,2022,0,0.09915803033981894,Routine Monitoring,0.11062868711008453
0001392972,2022,0,0.3643491908632217,Medium Review Priority,0.3896460362649618
0001393052,2022,0,0.013837486314403102,Routine Monitoring,0.015387335394613438
0001393584,2022,1,0.8888658797793018,High Review Priority,0.8943210081459753
0001393883,2022,0,0.02408731510483491,Routine Monitoring,0.026754037405328116
0001395942,2022,0,0.10067349982920744,Routine Monitoring,0.11229761303531527
0001396009,2022,0,0.04554773887684824,Routine Monitoring,0.050467493552789816
0001396033,2022,1,0.45331913472370083,High Review Priority,0.48012734453880007
0001396814,2022,0,0.04194590402579811,Routine Monitoring,0.04649556529724783
0001397047,2022,0,0.6307092395859875,High Review Priority,0.6554306170801063
0001397187,2022,0,0.015338883886039163,Routine Monitoring,0.017053986912586975
0001397702,2022,1,0.6832123141982516,High Review Priority,0.6963420102149088
0001399520,2022,0,0.14929837837427296,Routine Monitoring,0.16350482032893474
0001401257,2022,0,0.1322541131124863,Routine Monitoring,0.1451153720889074
0001401667,2022,0,0.39724610500557367,High Review Priority,0.42330595448067243
0001402057,2022,0,0.021648677500926902,Routine Monitoring,0.024395827014487205
0001402436,2022,0,0.016872240750180775,Routine Monitoring,0.01875552890283087
0001402829,2022,0,0.08160665161360721,Routine Monitoring,0.090053760284501
0001403161,2022,0,0.0013467685202395868,Routine Monitoring,0.0014248690140624312
0001403568,2022,0,0.006174021676409734,Routine Monitoring,0.0068715155159840904
0001404655,2022,0,0.041933061073968846,Routine Monitoring,0.04648139691895722
0001408075,2022,0,0.017131406233813564,Routine Monitoring,0.019316645993206188
0001408198,2022,0,0.00312745294309218,Routine Monitoring,0.003308475054723387
0001408710,2022,0,0.043545029851253615,Routine Monitoring,0.04825940322464372
0001409171,2022,0,0.07729001566048181,Routine Monitoring,0.08647380005138432
0001410384,2022,0,0.13921322510668835,Routine Monitoring,0.15263219693173843
0001411207,2022,0,0.011514421754904495,Routine Monitoring,0.01280745826112591
0001411688,2022,1,0.118603711427648,Routine Monitoring,0.1303369016018682
0001412408,2022,1,0.8935677544378842,High Review Priority,0.9033880616011228
0001413329,2022,0,0.003674679453943302,Routine Monitoring,0.004090978978912565
0001413447,2022,0,0.007605242681393979,Routine Monitoring,0.008585963549897942
0001413898,2022,1,0.6770138959402058,High Review Priority,0.7001093890731217
0001418135,2022,0,0.017466886531353375,Routine Monitoring,0.019415238554557703
0001418819,2022,0,0.01729801787374872,Routine Monitoring,0.019227901989362722
0001419612,2022,0,0.04614393993961536,Routine Monitoring,0.05183477466720044
0001420800,2022,0,0.29044566745584777,Medium Review Priority,0.30647196946005945
0001421517,2022,0,0.06745183780500882,Routine Monitoring,0.07455271919870805
0001422930,2022,0,0.024607844639679553,Routine Monitoring,0.026124515290800347
0001423221,2022,0,0.04104352777083143,Routine Monitoring,0.04549996117069326
0001423774,2022,1,0.4267499490716644,High Review Priority,0.45328973958441876
0001423902,2022,0,0.01215104349760215,Routine Monitoring,0.013041071468038032
0001424929,2022,0,0.03863232080524556,Routine Monitoring,0.04283864500478102
0001425292,2022,0,0.004586698366952806,Routine Monitoring,0.0051801999445639
0001428336,2022,0,0.05035469722884223,Routine Monitoring,0.05576333178576941
0001431695,2022,1,0.2983755054409725,Medium Review Priority,0.311673556215956
0001432133,2022,1,0.6998669222608636,High Review Priority,0.7125967188222286
0001433195,2022,0,0.11470915815859457,Routine Monitoring,0.12611219582584196
0001433270,2022,0,0.010578934865300281,Routine Monitoring,0.011768169555869843
0001433660,2022,0,0.03887318791960593,Routine Monitoring,0.043708424896739165
0001436208,2022,1,0.06478091384877775,Routine Monitoring,0.07162221327340737
0001437352,2022,0,0.16003142624965785,Routine Monitoring,0.17504901506750395
0001438133,2022,1,0.16576815392174363,Routine Monitoring,0.18120794811936014
0001438533,2022,1,0.9139064507104773,High Review Priority,0.9182454895963541
0001439095,2022,0,0.0856567325415711,Routine Monitoring,0.09573152643106841
0001439288,2022,0,0.04324468118222638,Routine Monitoring,0.0458560059846623
0001441236,2022,0,0.03821822510736052,Routine Monitoring,0.04238144981514189
0001441683,2022,1,0.6000315734278227,High Review Priority,0.625587477922076
0001441816,2022,0,0.16050614042558595,Routine Monitoring,0.1755589663305422
0001442145,2022,0,0.0079513646222867,Routine Monitoring,0.00840924730070372
0001442236,2022,0,0.28598409457191937,Medium Review Priority,0.2986773786689687
0001443669,2022,0,0.17072352104564417,Routine Monitoring,0.18652166754525776
0001444380,2022,1,0.17494542900539908,Routine Monitoring,0.1910442529978946
0001445305,2022,0,0.15800304189002826,Routine Monitoring,0.17286945830596773
0001446847,2022,0,0.010708960358622021,Routine Monitoring,0.011487811186138536
0001447669,2022,0,0.18489992252536608,Routine Monitoring,0.20169084766808518
0001451505,2022,0,0.09594351343161196,Routine Monitoring,0.10708651714963055
0001451809,2022,1,0.1271778634650204,Routine Monitoring,0.14134903880523916
0001454938,2022,0,0.1263253861151363,Routine Monitoring,0.13325479763748804
0001455684,2022,1,0.25631423206793696,Routine Monitoring,0.27738340276520007
0001459200,2022,0,0.1010893652934713,Routine Monitoring,0.11130871309194398
0001459417,2022,1,0.196269577196817,Routine Monitoring,0.2138221419167758
0001460329,2022,1,0.3270466955092591,Medium Review Priority,0.3511845002402409
0001462418,2022,1,0.6336400066129435,High Review Priority,0.6615354372966307
0001463101,2022,0,0.005208736426069759,Routine Monitoring,0.005797815889441643
0001466258,2022,0,0.022207720077038303,Routine Monitoring,0.024671611851324722
0001466593,2022,0,0.04241971981952617,Routine Monitoring,0.04767421039721481
0001467373,2022,0,0.0047935441372651665,Routine Monitoring,0.005413665217514773
0001467623,2022,0,0.0075530794427386555,Routine Monitoring,0.00840505109833557
0001467858,2022,0,0.018420357621416562,Routine Monitoring,0.020472848917003492
0001468327,2022,1,0.7073362337608848,High Review Priority,0.7198760292214994
0001468666,2022,1,0.48305108054549734,High Review Priority,0.509977339007416
0001469367,2022,1,0.1573639631143217,Routine Monitoring,0.17218254525419296
0001474432,2022,0,0.012182442640610844,Routine Monitoring,0.013549467696359441
0001474735,2022,0,0.061270735309633534,Routine Monitoring,0.06776819800278085
0001474903,2022,0,0.12200837793387186,Routine Monitoring,0.13402716688411198
0001475115,2022,0,0.4929725377454355,High Review Priority,0.5198956437422616
0001476840,2022,1,0.07305011597704637,Routine Monitoring,0.0773157959371487
0001477294,2022,0,0.04429039036873876,Routine Monitoring,0.049081318714180186
0001477333,2022,0,0.07395347706667789,Routine Monitoring,0.0816788591556957
0001477720,2022,1,0.8610941519166257,High Review Priority,0.8734865180551082
0001478320,2022,1,0.8943774245460167,High Review Priority,0.8953257524629147
0001481582,2022,0,0.01765686258751348,Routine Monitoring,0.019625982291638595
0001481646,2022,1,0.884105855843782,High Review Priority,0.8904073467029713
0001481792,2022,0,0.04136360103714246,Routine Monitoring,0.04585312568756073
0001482981,2022,0,0.289273992349466,Medium Review Priority,0.30205152574722344
0001483510,2022,1,0.46329468874055646,High Review Priority,0.49016388676045136
0001484612,2022,1,0.9084304606010087,High Review Priority,0.9092654143288106
0001484778,2022,1,0.6560504131065807,High Review Priority,0.6697617214712687
0001486159,2022,0,0.008384796334034078,Routine Monitoring,0.008639520492517025
0001486957,2022,0,0.02417193206376331,Routine Monitoring,0.027230362789372905
0001487952,2022,0,0.06652469044559169,Routine Monitoring,0.07353566443709274
0001488139,2022,1,0.13654003424891917,Routine Monitoring,0.15160729177087742
0001489096,2022,0,0.04396190152654361,Routine Monitoring,0.048719108318323476
0001489393,2022,0,0.01804913734950538,Routine Monitoring,0.02034901696976303
0001490281,2022,1,0.6865264237955881,High Review Priority,0.7092338490312875
0001490978,2022,1,0.871587695097054,High Review Priority,0.8831709041356829
0001493594,2022,0,0.030159693282346904,Routine Monitoring,0.033475632157630344
0001493761,2022,0,0.7745999102996608,High Review Priority,0.7928524781842473
0001494259,2022,0,0.010488165849209962,Routine Monitoring,0.011667317033084169
0001495320,2022,0,0.4271416122409795,High Review Priority,0.453686483078905
0001496963,2022,0,0.02983703870267904,Routine Monitoring,0.03166554044237651
0001499200,2022,0,0.013260162004752737,Routine Monitoring,0.014959111093539021
0001499717,2022,1,0.3027400807823483,Medium Review Priority,0.32595285173226346
0001500435,2022,1,0.20680719352064128,Routine Monitoring,0.2250382852692902
0001501585,2022,0,0.031765524887425484,Routine Monitoring,0.03525160120347081
0001503274,2022,1,0.9262502314482081,High Review Priority,0.9269357686208028
0001503802,2022,1,0.9843792836997542,High Review Priority,0.9845335077671424
0001504461,2022,0,0.14340503691750578,Routine Monitoring,0.1590902729436421
0001504776,2022,0,0.2576448661290676,Routine Monitoring,0.2695551792782911
0001505155,2022,0,0.12129338451427372,Routine Monitoring,0.13325243047679156
0001505952,2022,0,0.3359714567948563,Medium Review Priority,0.3637744016168915
0001506293,2022,0,0.0911699235810837,Routine Monitoring,0.100498604108397
0001506307,2022,0,0.04238810057818665,Routine Monitoring,0.04698337256844596
0001507079,2022,0,0.05454982562382711,Routine Monitoring,0.06038041177176421
0001507605,2022,0,0.913884747401346,High Review Priority,0.9163072250564707
0001510295,2022,0,0.007605138799241606,Routine Monitoring,0.00846293256786416
0001511737,2022,0,0.004590925016338085,Routine Monitoring,0.005110492349911743
0001512673,2022,0,0.12876451021948318,Routine Monitoring,0.14134169218885356
0001512762,2022,1,0.9607758753579695,High Review Priority,0.9628487615685352
0001514416,2022,0,0.10716115377844233,Routine Monitoring,0.11791379607332633
0001514705,2022,0,0.021703849309278957,Routine Monitoring,0.02411321648700451
0001515673,2022,1,0.8926320424868569,High Review Priority,0.8985231513243689
0001516513,2022,0,0.014713416979653511,Routine Monitoring,0.015630030317291498
0001517022,2022,1,0.7165840385242219,High Review Priority,0.7392116785477385
0001517175,2022,0,0.08474152804753128,Routine Monitoring,0.09348009909320543
0001517228,2022,1,0.056664921704287136,Routine Monitoring,0.0627065867780919
0001517375,2022,0,0.18819439093455,Routine Monitoring,0.20520916987574278
0001517413,2022,0,0.4020322436845268,High Review Priority,0.4281830277840181
0001519061,2022,1,0.18336698350956213,Routine Monitoring,0.2023904116932598
0001519751,2022,0,0.06268420947840557,Routine Monitoring,0.06932049543120071
0001520006,2022,0,0.0061453987727797975,Routine Monitoring,0.0065945592655053216
0001520262,2022,0,0.19227020260704347,Routine Monitoring,0.2095583551188223
0001521036,2022,0,0.0056061036901494735,Routine Monitoring,0.0058163085003152615
0001521332,2022,0,0.03753049197648783,Routine Monitoring,0.04162204197075484
0001522540,2022,0,0.2736008811540222,Medium Review Priority,0.2859646668206375
0001522727,2022,0,0.08059127907775133,Routine Monitoring,0.08894346520761151
0001524025,2022,1,0.27093255494641993,Medium Review Priority,0.2927303713136839
0001524472,2022,0,0.02929745413481785,Routine Monitoring,0.03252177216190135
0001524741,2022,0,0.07316272944169551,Routine Monitoring,0.08081271639623451
0001524931,2022,0,0.08173337697204694,Routine Monitoring,0.09019231478069782
0001525769,2022,0,0.06978715668764136,Routine Monitoring,0.07487871927269107
0001526520,2022,0,0.025772294863986325,Routine Monitoring,0.0286200916523706
0001527508,2022,0,0.04147005190018748,Routine Monitoring,0.04597057645927134
0001528129,2022,0,0.02344469969738202,Routine Monitoring,0.02477249367261107
0001528356,2022,0,0.039525308812029515,Routine Monitoring,0.043824430152715185
0001528396,2022,0,0.22305816711627444,Routine Monitoring,0.2422842682033662
0001528849,2022,0,0.047708696405286896,Routine Monitoring,0.05284893867025217
0001529274,2022,1,0.40544096525893064,High Review Priority,0.4203151726846525
0001529628,2022,0,0.15429603487672067,Routine Monitoring,0.16247441181787822
0001530721,2022,0,0.037800127288775826,Routine Monitoring,0.04191979244835613
0001530804,2022,0,0.0367764793922918,Routine Monitoring,0.040789311128398155
0001530950,2022,0,0.0580341094712222,Routine Monitoring,0.06421182160104186
0001530979,2022,0,0.6099534995149615,High Review Priority,0.6244505011295947
